Difficulty_Tier,Company,Role,Location,Date_Posted,Apply_Link,Alumni_Search,Recruiter_Search
1,🔥 Amazon,Software Development Engineer Intern - Military Veteran,"11 locationsNYC | Culver City, CA | Santa Clara, CA | Boston, MA | Seattle, WA | Denver, CO | SF | Arlington, VA | Sunnyvale, CA | Brooklyn, NY | Williston Park, NY",2026-02-12,https://amazon.jobs/en/jobs/3179209/software-development-engineer-internship-military-veteran?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22%F0%9F%94%A5%20Amazon%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22%F0%9F%94%A5%20Amazon%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
1,Twilio,Software Engineer Intern - United States,Remote in USA,2026-02-10,https://job-boards.greenhouse.io/twilio/jobs/7560246?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Twilio%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Twilio%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
1,Intuitive Surgical,Software Engineering Intern,"Sunnyvale, CA",2026-02-06,https://jobs.smartrecruiters.com/Intuitive/744000107599647?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Intuitive%20Surgical%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Intuitive%20Surgical%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
1,Intuitive Surgical,Fullstack Software Engineering Intern,"Sunnyvale, CA",2026-02-05,https://jobs.smartrecruiters.com/Intuitive/744000107328121?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Intuitive%20Surgical%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Intuitive%20Surgical%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
1,🔥 Oracle,Software Development Intern - Global Licensing and Advisory Services,"San Carlos, CA",2026-02-04,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_45001/job/325487?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22%F0%9F%94%A5%20Oracle%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22%F0%9F%94%A5%20Oracle%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
1,Airspace Intelligence,Software Engineer Intern - Summer,"Boston, MA",,https://jobs.ashbyhq.com/airspace-intelligence.com/8d49943d-197e-4b14-b4cf-3df91c7f8437/application?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Airspace%20Intelligence%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Airspace%20Intelligence%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
1,Veeva Systems,Intern Software Engineer - Summer 2026,"Pleasanton, CA",,https://jobs.lever.co/veeva/4df9c2ca-d702-4d41-af82-290deff66564/apply?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Veeva%20Systems%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Veeva%20Systems%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
1,Cisco,AI/ML Modeling Engineer 1 2 Intern - United States,SF,2026-02-28,https://careers.cisco.com/global/en/job/2008899?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Cisco%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Cisco%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
1,Cisco,AI/ML Modeling Engineer 2 - Intern,"Milpitas, CA | San Jose, CA | SF",2026-02-28,https://careers.cisco.com/global/en/job/2008901?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Cisco%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Cisco%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
1,Cisco,AI Research Scientist 2 – Intern - United States,SF,2026-02-25,https://careers.cisco.com/global/en/job/2007516?utm_source=Simplify&ref=Simplify,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Cisco%22%20%22Rose-Hulman%22,https://www.google.com/search?q=site%3Alinkedin.com/in%20%22Cisco%22%20%28%22University%20Recruiter%22%20OR%20%22Technical%20Recruiter%22%29
